J_A,C_T,mdot_g_s
3238,6.857,3
3651,5.176,3
4133,4.394,3
4814,3.375,3
5406,2.915,3
6054,2.633,3
6593,2.540,3
7098,2.446,3
7532,2.250,3
8220,2.157,3
8631,2.017,3
9115,1.973,3
9581,1.889,3
10099,1.906,3
10860,1.914,3
11419,1.912,3
11898,1.906,3
12465,1.920,3
13165,1.912,3
13733,1.929,3
15482,2.036,3
16113,2.013,3
16610,2.063,3
7195,4.176,6
8172,3.664,6
9500,2.876,6
10966,2.403,6
11944,2.170,6
13114,2.039,6
15523,1.890,6
17058,2.080,6
17449,2.131,6
17759,2.017,6
19031,1.957,6
20064,2.069,6
21148,2.021,6
22026,2.002,6
22920,2.137,6
25879,2.092,6
